date,day_of_week,time_of_day,is_holiday,person_condition,at_home,guests_present,mood,temperature,light_level,bedroom_light,living_room_light,bathroom_light,kitchen_light,ac_temp,tv_status,music_player_status,water_heater_status,smart_locks,security_cameras,security_system,watch_tv,play_music,music_type
2019-01-14,Monday,morning,0,at_work,0,0,tired,15.8,248,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-14,Monday,afternoon,0,at_work,0,0,energetic,22.5,735,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-14,Monday,evening,0,at_home,1,1,energetic,18.9,233,0,32,0,89,26,1,1,0,0,1,1,1,1,Jazz
2019-01-14,Monday,night,0,sleeping,1,0,peaceful,12.3,93,7,0,0,0,26,0,0,0,1,1,1,0,0,Jazz
2019-01-15,Tuesday,morning,0,at_work,0,0,energetic,17.7,312,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-15,Tuesday,afternoon,0,at_work,0,0,tired,21.2,504,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-15,Tuesday,evening,0,out,0,0,tired,15.3,180,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-15,Tuesday,night,0,sleeping,1,0,peaceful,14.2,114,1,0,0,0,24,0,0,0,1,1,1,0,0,Pop
2019-01-16,Wednesday,morning,0,getting_ready,1,0,tired,14.4,312,87,0,88,0,25,0,0,0,1,1,1,0,0,Classical
2019-01-16,Wednesday,afternoon,0,at_work,0,0,tired,21.6,500,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-16,Wednesday,evening,0,sleeping,1,0,peaceful,16.2,203,0,0,0,0,24,0,0,0,1,1,1,0,0,Hip Hop
2019-01-16,Wednesday,night,0,sleeping,1,0,peaceful,12.6,56,10,0,0,0,24,0,0,0,1,1,1,0,0,Ambient
2019-01-17,Thursday,morning,0,at_work,0,0,tired,16.3,300,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-17,Thursday,afternoon,0,at_home,1,0,happy,19.2,456,0,48,88,0,23,1,1,0,1,1,1,1,1,Jazz
2019-01-17,Thursday,evening,0,out,0,0,happy,17.2,264,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-17,Thursday,night,0,sleeping,1,0,peaceful,11.0,145,8,0,0,0,23,0,0,0,1,1,1,0,0,Jazz
2019-01-18,Friday,morning,0,at_work,0,0,energetic,12.6,276,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-18,Friday,afternoon,0,at_work,0,0,focused,21.4,715,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-18,Friday,evening,0,at_home,1,0,stressed,17.8,297,0,54,0,91,26,1,0,1,1,1,1,1,0,Pop
2019-01-18,Friday,night,0,sleeping,1,0,peaceful,10.9,84,5,0,0,0,25,0,0,0,1,1,1,0,0,Country
2019-01-19,Saturday,morning,1,at_home,1,0,energetic,12.9,203,0,0,0,88,23,0,0,1,0,1,1,0,0,Ambient
2019-01-19,Saturday,afternoon,1,out,0,0,happy,17.2,696,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-19,Saturday,evening,1,out,0,0,energetic,16.5,193,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-19,Saturday,night,1,sleeping,1,0,peaceful,12.5,96,5,0,0,0,24,0,0,0,1,1,1,0,0,Hip Hop
2019-01-20,Sunday,morning,1,at_home,1,0,tired,15.1,419,0,0,75,72,23,0,0,1,1,1,1,0,0,Jazz
2019-01-20,Sunday,afternoon,1,out,0,0,tired,22.6,648,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-20,Sunday,evening,1,out,0,0,tired,15.4,276,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-20,Sunday,night,1,awake,0,0,happy,13.2,87,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-21,Monday,morning,0,at_work,0,0,tired,16.7,328,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-21,Monday,afternoon,0,at_work,0,0,energetic,22.8,600,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-21,Monday,evening,0,out,0,0,energetic,14.2,183,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-21,Monday,night,0,sleeping,1,0,peaceful,12.2,125,10,0,0,0,25,0,0,0,1,1,1,0,0,Pop
2019-01-22,Tuesday,morning,0,at_work,0,0,focused,14.8,368,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-22,Tuesday,afternoon,0,at_home,1,0,happy,20.9,640,0,0,0,86,0,0,1,0,0,1,1,0,1,Country
2019-01-22,Tuesday,evening,0,sleeping,1,0,peaceful,13.5,266,7,0,0,0,26,0,0,0,1,1,1,0,0,Ambient
2019-01-22,Tuesday,night,0,sleeping,1,0,peaceful,11.1,96,5,0,0,0,25,0,0,0,1,1,1,0,0,Country
2019-01-23,Wednesday,morning,0,getting_ready,1,0,happy,16.5,212,92,0,0,96,26,0,1,0,0,1,1,0,1,Country
2019-01-23,Wednesday,afternoon,0,at_work,0,0,energetic,20.5,544,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-23,Wednesday,evening,0,out,0,0,stressed,15.8,241,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-23,Wednesday,night,0,sleeping,1,0,peaceful,12.7,66,2,0,0,0,26,0,0,0,1,1,1,0,0,Jazz
2019-01-24,Thursday,morning,0,getting_ready,1,0,tired,14.7,469,66,0,0,0,25,0,0,1,0,1,1,0,0,Rock
2019-01-24,Thursday,afternoon,0,at_work,0,0,tired,17.7,576,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-24,Thursday,evening,0,at_home,1,0,tired,14.6,263,0,50,0,87,24,1,0,1,0,1,1,1,0,Electronic
2019-01-24,Thursday,night,0,sleeping,1,0,peaceful,13.5,95,6,0,0,0,25,0,0,0,1,1,1,0,0,Country
2019-01-25,Friday,morning,0,sleeping,1,0,peaceful,13.3,335,6,0,0,0,25,0,0,0,1,1,1,0,0,Country
2019-01-25,Friday,afternoon,0,at_home,1,0,tired,19.0,570,0,0,0,0,25,0,0,1,1,1,1,0,0,Country
2019-01-25,Friday,evening,0,at_home,1,0,energetic,14.7,221,0,41,0,0,23,1,0,0,0,1,1,1,0,Classical
2019-01-25,Friday,night,0,sleeping,1,0,peaceful,10.9,129,4,0,0,0,25,0,0,0,1,1,1,0,0,Rock
2019-01-26,Saturday,morning,1,at_home,1,0,tired,16.6,414,0,0,0,0,24,0,0,1,1,1,1,0,0,Ambient
2019-01-26,Saturday,afternoon,1,at_home,1,0,happy,21.5,518,0,0,0,0,0,0,1,1,0,1,1,0,1,Electronic
2019-01-26,Saturday,evening,1,at_home,1,1,energetic,14.1,164,0,0,0,73,25,0,1,1,1,1,1,0,1,Country
2019-01-26,Saturday,night,1,sleeping,1,0,peaceful,10.8,54,8,0,0,0,26,0,0,0,1,1,1,0,0,Hip Hop
2019-01-27,Sunday,morning,1,at_home,1,0,calm,16.8,303,0,0,0,92,26,0,0,1,1,1,1,0,0,Jazz
2019-01-27,Sunday,afternoon,1,at_home,1,0,tired,17.5,645,0,0,0,92,24,0,0,1,0,1,1,0,0,Pop
2019-01-27,Sunday,evening,1,at_home,1,1,stressed,13.9,134,0,0,70,91,23,0,0,0,0,1,1,0,0,Electronic
2019-01-27,Sunday,night,1,sleeping,1,0,peaceful,14.3,59,3,0,0,0,25,0,0,0,1,1,1,0,0,Ambient
2019-01-28,Monday,morning,0,at_work,0,0,energetic,13.9,280,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-28,Monday,afternoon,0,at_work,0,0,energetic,17.0,696,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-28,Monday,evening,0,at_home,1,0,calm,16.1,288,0,34,90,0,25,1,0,1,0,1,1,1,0,Rock
2019-01-28,Monday,night,0,out,0,0,happy,10.6,109,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-29,Tuesday,morning,0,getting_ready,1,0,happy,16.1,278,86,0,0,93,25,0,1,0,1,1,1,0,1,Ambient
2019-01-29,Tuesday,afternoon,0,at_work,0,0,energetic,21.5,647,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-29,Tuesday,evening,0,out,0,0,energetic,15.2,124,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-29,Tuesday,night,0,sleeping,1,0,peaceful,11.4,124,6,0,0,0,25,0,0,0,1,1,1,0,0,Electronic
2019-01-30,Wednesday,morning,0,at_work,0,0,tired,17.5,322,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-30,Wednesday,afternoon,0,at_work,0,0,energetic,18.6,495,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-30,Wednesday,evening,0,out,0,0,stressed,17.0,190,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-30,Wednesday,night,0,sleeping,1,0,peaceful,14.8,81,1,0,0,0,23,0,0,0,1,1,1,0,0,Hip Hop
2019-01-31,Thursday,morning,0,at_work,0,0,energetic,15.2,348,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-31,Thursday,afternoon,0,at_work,0,0,tired,20.7,639,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-31,Thursday,evening,0,at_home,1,0,calm,18.8,261,0,31,0,0,25,1,1,0,0,1,1,1,1,Rock
2019-01-31,Thursday,night,0,sleeping,1,0,peaceful,14.7,94,1,0,0,0,26,0,0,0,1,1,1,0,0,Hip Hop
2019-02-01,Friday,morning,0,at_work,0,0,focused,17.2,467,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-01,Friday,afternoon,0,at_work,0,0,tired,22.8,785,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-01,Friday,evening,0,at_home,1,1,stressed,13.3,274,0,0,0,79,24,0,0,0,0,1,1,0,0,Hip Hop
2019-02-01,Friday,night,0,sleeping,1,0,peaceful,14.8,62,10,0,0,0,24,0,0,0,1,1,1,0,0,Classical
2019-02-02,Saturday,morning,1,at_home,1,0,tired,14.9,336,0,0,0,99,23,0,0,1,1,1,1,0,0,Pop
2019-02-02,Saturday,afternoon,1,at_home,1,0,energetic,22.2,754,0,0,73,0,0,0,0,1,0,1,1,0,0,Ambient
2019-02-02,Saturday,evening,1,out,0,0,calm,14.6,102,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-02,Saturday,night,1,awake,0,0,tired,13.5,113,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-03,Sunday,morning,1,at_home,1,0,stressed,13.4,392,0,0,0,0,23,0,0,1,1,1,1,0,0,Classical
2019-02-03,Sunday,afternoon,1,at_home,1,0,tired,18.5,603,0,0,0,76,24,0,0,1,0,1,1,0,0,Country
2019-02-03,Sunday,evening,1,at_home,1,1,energetic,13.9,225,0,50,99,98,26,1,1,1,0,1,1,1,1,Classical
2019-02-03,Sunday,night,1,sleeping,1,0,peaceful,14.0,70,3,0,0,0,25,0,0,0,1,1,1,0,0,Jazz
2019-02-04,Monday,morning,0,at_work,0,0,tired,13.6,429,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-04,Monday,afternoon,0,at_work,0,0,energetic,21.3,621,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-04,Monday,evening,0,at_home,1,0,stressed,16.8,281,0,39,0,97,24,1,0,1,0,1,1,1,0,Electronic
2019-02-04,Monday,night,0,sleeping,1,0,peaceful,13.4,60,7,0,0,0,23,0,0,0,1,1,1,0,0,Hip Hop
2019-02-05,Tuesday,morning,0,at_work,0,0,tired,14.5,310,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-05,Tuesday,afternoon,0,at_work,0,0,stressed,19.6,426,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-05,Tuesday,evening,0,out,0,0,calm,17.5,230,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-05,Tuesday,night,0,sleeping,1,0,peaceful,13.5,123,8,0,0,0,24,0,0,0,1,1,1,0,0,Country
2019-02-06,Wednesday,morning,0,at_work,0,0,energetic,18.0,272,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-06,Wednesday,afternoon,0,at_work,0,0,focused,21.0,491,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-06,Wednesday,evening,0,out,0,0,calm,16.7,280,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-06,Wednesday,night,0,sleeping,1,0,peaceful,12.8,104,2,0,0,0,26,0,0,0,1,1,1,0,0,Pop
2019-02-07,Thursday,morning,0,at_work,0,0,tired,15.1,463,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-07,Thursday,afternoon,0,at_work,0,0,tired,22.1,405,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-07,Thursday,evening,0,out,0,0,stressed,18.0,187,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-07,Thursday,night,0,sleeping,1,0,peaceful,12.6,69,6,0,0,0,26,0,0,0,1,1,1,0,0,Hip Hop
2019-02-08,Friday,morning,0,at_work,0,0,focused,14.8,372,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-08,Friday,afternoon,0,out,0,0,stressed,18.9,438,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-08,Friday,evening,0,out,0,0,happy,15.1,113,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-08,Friday,night,0,sleeping,1,0,peaceful,12.0,52,4,0,0,0,23,0,0,0,1,1,1,0,0,Rock
2019-02-09,Saturday,morning,1,at_home,1,0,happy,17.4,470,0,0,0,0,23,0,0,0,0,1,1,0,0,Jazz
2019-02-09,Saturday,afternoon,1,at_home,1,1,stressed,21.3,679,0,0,0,84,0,0,0,1,0,1,1,0,0,Jazz
2019-02-09,Saturday,evening,1,out,0,0,stressed,16.1,177,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-09,Saturday,night,1,awake,0,0,energetic,12.4,67,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-10,Sunday,morning,1,out,0,0,happy,12.7,500,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-10,Sunday,afternoon,1,out,0,0,calm,18.7,566,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-10,Sunday,evening,1,at_home,1,0,calm,13.5,243,0,0,0,0,24,0,0,0,0,1,1,0,0,Electronic
2019-02-10,Sunday,night,1,sleeping,1,0,peaceful,13.8,138,8,0,0,0,23,0,0,0,1,1,1,0,0,Rock
2019-02-11,Monday,morning,0,sleeping,1,0,peaceful,12.1,298,0,0,0,0,23,0,0,0,1,1,1,0,0,Rock
2019-02-11,Monday,afternoon,0,at_work,0,0,stressed,20.3,517,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-11,Monday,evening,0,at_home,1,0,tired,14.5,205,0,59,0,0,24,1,0,1,0,1,1,1,0,Hip Hop
2019-02-11,Monday,night,0,sleeping,1,0,peaceful,10.8,99,2,0,0,0,26,0,0,0,1,1,1,0,0,Rock
2019-02-12,Tuesday,morning,0,at_work,0,0,tired,13.8,280,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-12,Tuesday,afternoon,0,out,0,0,energetic,20.9,578,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-12,Tuesday,evening,0,at_home,1,0,happy,14.2,225,0,0,0,0,23,0,1,1,0,1,1,0,1,Classical
2019-02-12,Tuesday,night,0,sleeping,1,0,peaceful,10.8,82,6,0,0,0,23,0,0,0,1,1,1,0,0,Pop
2019-02-13,Wednesday,morning,0,at_work,0,0,focused,16.8,367,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-13,Wednesday,afternoon,0,out,0,0,energetic,20.9,406,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-13,Wednesday,evening,0,at_home,1,0,tired,18.0,295,0,37,72,90,24,1,0,1,0,1,1,1,0,Country
2019-02-13,Wednesday,night,0,awake,0,0,energetic,10.8,82,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-14,Thursday,morning,0,at_work,0,0,stressed,12.4,220,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-14,Thursday,afternoon,0,at_work,0,0,focused,17.0,680,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-14,Thursday,evening,0,at_home,1,0,tired,16.8,188,0,51,0,0,23,1,0,0,1,1,1,1,0,Classical
2019-02-14,Thursday,night,0,sleeping,1,0,peaceful,12.6,124,3,0,0,0,26,0,0,0,1,1,1,0,0,Hip Hop
2019-02-15,Friday,morning,0,sleeping,1,0,peaceful,15.4,231,6,0,0,0,25,0,0,0,1,1,1,0,0,Country
2019-02-15,Friday,afternoon,0,at_home,1,0,calm,18.2,480,0,58,0,84,26,1,0,0,0,1,1,1,0,Hip Hop
2019-02-15,Friday,evening,0,at_home,1,0,stressed,18.5,141,0,0,0,78,23,0,0,1,0,1,1,0,0,Ambient
2019-02-15,Friday,night,0,sleeping,1,0,peaceful,14.3,64,9,0,0,0,23,0,0,0,1,1,1,0,0,Country
2019-02-16,Saturday,morning,1,at_home,1,0,energetic,15.9,359,0,0,71,93,25,0,1,1,1,1,1,0,1,Rock
2019-02-16,Saturday,afternoon,1,at_home,1,0,happy,17.3,673,0,0,90,0,26,0,1,1,0,1,1,0,1,Jazz
2019-02-16,Saturday,evening,1,at_home,1,1,calm,14.1,297,0,38,0,0,25,1,0,1,0,1,1,1,0,Electronic
2019-02-16,Saturday,night,1,sleeping,1,0,peaceful,13.8,110,8,0,0,0,24,0,0,0,1,1,1,0,0,Classical
2019-02-17,Sunday,morning,1,out,0,0,tired,15.7,392,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-17,Sunday,afternoon,1,at_home,1,0,stressed,21.4,574,0,0,0,94,0,0,0,1,1,1,1,0,0,Country
2019-02-17,Sunday,evening,1,at_home,1,0,calm,17.9,271,0,0,0,70,26,0,0,0,0,1,1,0,0,Ambient
2019-02-17,Sunday,night,1,awake,0,0,calm,11.6,88,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-18,Monday,morning,0,at_work,0,0,focused,13.1,360,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-18,Monday,afternoon,0,at_work,0,0,tired,20.0,561,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-18,Monday,evening,0,out,0,0,calm,18.0,241,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-18,Monday,night,0,sleeping,1,0,peaceful,12.9,127,1,0,0,0,25,0,0,0,1,1,1,0,0,Jazz
2019-02-19,Tuesday,morning,0,at_work,0,0,energetic,16.0,431,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-19,Tuesday,afternoon,0,at_work,0,0,stressed,20.1,583,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-19,Tuesday,evening,0,at_home,1,1,calm,14.1,113,0,0,0,0,26,0,0,0,0,1,1,0,0,Country
2019-02-19,Tuesday,night,0,sleeping,1,0,peaceful,12.2,60,2,0,0,0,23,0,0,0,1,1,1,0,0,Hip Hop
2019-02-20,Wednesday,morning,0,at_work,0,0,focused,15.5,499,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-20,Wednesday,afternoon,0,out,0,0,tired,18.8,578,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-20,Wednesday,evening,0,at_home,1,0,energetic,15.8,228,0,51,87,92,25,1,1,1,0,1,1,1,1,Jazz
2019-02-20,Wednesday,night,0,sleeping,1,0,peaceful,10.2,132,9,0,0,0,23,0,0,0,1,1,1,0,0,Country
2019-02-21,Thursday,morning,0,at_work,0,0,tired,14.5,464,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-21,Thursday,afternoon,0,at_work,0,0,stressed,19.5,705,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-02-21,Thursday,evening,0,sleeping,1,0,peaceful,17.7,271,6,0,0,0,25,0,0,0,1,1,1,0,0,Jazz
2019-02-21,Thursday,night,0,sleeping,1,0,peaceful,14.0,53,6,0,0,0,25,0,0,0,1,1,1,0,0,Rock
2019-02-22,Friday,morning,0,getting_ready,1,1,stressed,12.5,417,68,0,0,0,25,0,0,1,0,1,1,0,0,Electronic
2019-02-22,Friday,afternoon,0,at_work,0,0,focused,18.2,630,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
